EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome,State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalanceRating,SelfRating,ManagerRating
95D7-1CE9,Ahmed,Sykes,Male,43,"Some Travel","Human Resources",29,CA,"Asian or Asian American","Masters ","Marketing ","HR Business Partner",Married,309964,1,No,2012-01-04,No,10,6,10,8,2014-04-09,"Very Satisfied",Dissatisfied,Neutral,1,0,"Needs Improvement",4,4
95D7-1CE9,Ahmed,Sykes,Male,43,"Some Travel","Human Resources",29,CA,"Asian or Asian American","Masters ","Marketing ","HR Business Partner",Married,309964,1,No,2012-01-04,No,10,6,10,8,2018-04-08,"Very Satisfied","Satisfied ","Satisfied ",2,2,"Above and Beyond",3,2
95D7-1CE9,Ahmed,Sykes,Male,43,"Some Travel","Human Resources",29,CA,"Asian or Asian American","Masters ","Marketing ","HR Business Partner",Married,309964,1,No,2012-01-04,No,10,6,10,8,2017-04-08,"Satisfied ","Satisfied ",Neutral,2,2,"Above and Beyond",4,4
95D7-1CE9,Ahmed,Sykes,Male,43,"Some Travel","Human Resources",29,CA,"Asian or Asian American","Masters ","Marketing ","HR Business Partner",Married,309964,1,No,2012-01-04,No,10,6,10,8,2016-04-08,Neutral,Neutral,Dissatisfied,1,0,"Needs Improvement",3,2
47A0-559B,Ermentrude,Berrie,Non-Binary,39,"Some Travel",Technology,12,IL,White,"Bachelors ","Computer Science","Engineering Manager",Married,293132,0,No,2012-01-05,No,10,10,10,0,2020-03-26,"Satisfied ","Very Satisfied",Dissatisfied,3,2,"Needs Improvement",5,4
47A0-559B,Ermentrude,Berrie,Non-Binary,39,"Some Travel",Technology,12,IL,White,"Bachelors ","Computer Science","Engineering Manager",Married,293132,0,No,2012-01-05,No,10,10,10,0,2019-03-27,"Satisfied ","Satisfied ",Neutral,3,2,"Above and Beyond",3,2
47A0-559B,Ermentrude,Berrie,Non-Binary,39,"Some Travel",Technology,12,IL,White,"Bachelors ","Computer Science","Engineering Manager",Married,293132,0,No,2012-01-05,No,10,10,10,0,2014-03-28,Neutral,"Very Satisfied","Very Satisfied",1,2,"Needs Improvement",5,5
47A0-559B,Ermentrude,Berrie,Non-Binary,39,"Some Travel",Technology,12,IL,White,"Bachelors ","Computer Science","Engineering Manager",Married,293132,0,No,2012-01-05,No,10,10,10,0,2018-03-27,"Satisfied ",Neutral,"Satisfied ",3,1,"Needs Improvement",4,4
47A0-559B,Ermentrude,Berrie,Non-Binary,39,"Some Travel",Technology,12,IL,White,"Bachelors ","Computer Science","Engineering Manager",Married,293132,0,No,2012-01-05,No,10,10,10,0,2017-03-27,"Satisfied ","Very Satisfied","Very Satisfied",1,1,"Above and Beyond",4,3
47A0-559B,Ermentrude,Berrie,Non-Binary,39,"Some Travel",Technology,12,IL,White,"Bachelors ","Computer Science","Engineering Manager",Married,293132,0,No,2012-01-05,No,10,10,10,0,2016-03-27,Neutral,"Very Satisfied",Neutral,3,0,"Needs Improvement",3,3
42CC-040A,Stace,Savege,Female,29,"Some Travel","Human Resources",29,CA,White,"High School ","Technical Degree",Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,2020-05-12,Neutral,"Satisfied ","Very Satisfied",3,2,"Above and Beyond",4,4
42CC-040A,Stace,Savege,Female,29,"Some Travel","Human Resources",29,CA,White,"High School ","Technical Degree",Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,2014-05-14,"Satisfied ","Very Satisfied","Satisfied ",2,3,"Above and Beyond",5,5
42CC-040A,Stace,Savege,Female,29,"Some Travel","Human Resources",29,CA,White,"High School ","Technical Degree",Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,2019-05-13,"Satisfied ","Very Satisfied","Satisfied ",3,0,"Exceeds Expectation ",4,3
42CC-040A,Stace,Savege,Female,29,"Some Travel","Human Resources",29,CA,White,"High School ","Technical Degree",Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,2018-05-13,"Satisfied ",Neutral,Dissatisfied,1,1,"Meets Expectation",4,3
42CC-040A,Stace,Savege,Female,29,"Some Travel","Human Resources",29,CA,White,"High School ","Technical Degree",Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,2017-05-13,"Satisfied ",Neutral,"Very Satisfied",1,2,"Exceeds Expectation ",4,3
42CC-040A,Stace,Savege,Female,29,"Some Travel","Human Resources",29,CA,White,"High School ","Technical Degree",Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,2013-05-14,"Very Satisfied",Dissatisfied,"Satisfied ",2,1,"Above and Beyond",4,3
42CC-040A,Stace,Savege,Female,29,"Some Travel","Human Resources",29,CA,White,"High School ","Technical Degree",Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,2016-05-13,"Satisfied ",Neutral,Dissatisfied,1,0,"Above and Beyond",3,2
C219-6C2E,Clerkclaude,Hinkins,Male,34,"Some Travel",Sales,30,NY,"Mixed or multiple ethnic groups","High School ",Marketing,"Sales Executive",Divorced,133468,1,No,2012-01-05,No,10,3,7,9,2014-11-23,"Very Satisfied","Very Satisfied",Dissatisfied,2,2,"Needs Improvement",4,4
C219-6C2E,Clerkclaude,Hinkins,Male,34,"Some Travel",Sales,30,NY,"Mixed or multiple ethnic groups","High School ",Marketing,"Sales Executive",Divorced,133468,1,No,2012-01-05,No,10,3,7,9,2019-11-22,"Satisfied ","Satisfied ","Satisfied ",2,1,"Needs Improvement",3,3
C219-6C2E,Clerkclaude,Hinkins,Male,34,"Some Travel",Sales,30,NY,"Mixed or multiple ethnic groups","High School ",Marketing,"Sales Executive",Divorced,133468,1,No,2012-01-05,No,10,3,7,9,2018-11-22,Neutral,"Satisfied ",Dissatisfied,2,0,"Meets Expectation",5,5
C219-6C2E,Clerkclaude,Hinkins,Male,34,"Some Travel",Sales,30,NY,"Mixed or multiple ethnic groups","High School ",Marketing,"Sales Executive",Divorced,133468,1,No,2012-01-05,No,10,3,7,9,2017-11-22,"Very Satisfied","Very Satisfied",Dissatisfied,1,2,"Exceeds Expectation ",5,4
C219-6C2E,Clerkclaude,Hinkins,Male,34,"Some Travel",Sales,30,NY,"Mixed or multiple ethnic groups","High School ",Marketing,"Sales Executive",Divorced,133468,1,No,2012-01-05,No,10,3,7,9,2016-11-22,"Satisfied ","Satisfied ",Dissatisfied,3,1,"Above and Beyond",4,4
D906-B674,Uta,Melmar,Female,42,"No Travel ",Technology,45,NY,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,259284,1,No,2012-01-09,No,10,2,6,6,2020-07-16,"Satisfied ",Neutral,"Very Satisfied",3,0,"Exceeds Expectation ",5,5
D906-B674,Uta,Melmar,Female,42,"No Travel ",Technology,45,NY,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,259284,1,No,2012-01-09,No,10,2,6,6,2014-07-18,Neutral,"Very Satisfied","Very Satisfied",1,1,"Meets Expectation",5,5
D906-B674,Uta,Melmar,Female,42,"No Travel ",Technology,45,NY,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,259284,1,No,2012-01-09,No,10,2,6,6,2019-07-17,"Very Satisfied",Neutral,"Very Satisfied",3,0,"Needs Improvement",4,4
D906-B674,Uta,Melmar,Female,42,"No Travel ",Technology,45,NY,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,259284,1,No,2012-01-09,No,10,2,6,6,2018-07-17,"Satisfied ","Very Satisfied","Satisfied ",3,2,"Needs Improvement",4,3
D906-B674,Uta,Melmar,Female,42,"No Travel ",Technology,45,NY,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,259284,1,No,2012-01-09,No,10,2,6,6,2017-07-17,"Satisfied ","Very Satisfied","Very Satisfied",3,2,"Exceeds Expectation ",4,4
D906-B674,Uta,Melmar,Female,42,"No Travel ",Technology,45,NY,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,259284,1,No,2012-01-09,No,10,2,6,6,2016-07-17,Neutral,Neutral,Neutral,2,1,"Meets Expectation",5,4
3C7D-86ED,Joyan,Brason,Female,40,"Some Travel",Sales,3,CA,"Native Hawaiian ","High School ",Other,"Sales Executive",Divorced,104426,1,No,2012-01-11,No,10,3,4,6,2020-02-18,"Satisfied ",Dissatisfied,Dissatisfied,3,3,"Meets Expectation",3,2
3C7D-86ED,Joyan,Brason,Female,40,"Some Travel",Sales,3,CA,"Native Hawaiian ","High School ",Other,"Sales Executive",Divorced,104426,1,No,2012-01-11,No,10,3,4,6,2019-02-18,Neutral,"Very Satisfied","Very Satisfied",3,2,"Above and Beyond",3,3
3C7D-86ED,Joyan,Brason,Female,40,"Some Travel",Sales,3,CA,"Native Hawaiian ","High School ",Other,"Sales Executive",Divorced,104426,1,No,2012-01-11,No,10,3,4,6,2014-02-19,"Very Satisfied",Dissatisfied,"Satisfied ",1,3,"Meets Expectation",3,2
3C7D-86ED,Joyan,Brason,Female,40,"Some Travel",Sales,3,CA,"Native Hawaiian ","High School ",Other,"Sales Executive",Divorced,104426,1,No,2012-01-11,No,10,3,4,6,2018-02-18,"Very Satisfied","Very Satisfied",Neutral,3,1,"Needs Improvement",3,2
3C7D-86ED,Joyan,Brason,Female,40,"Some Travel",Sales,3,CA,"Native Hawaiian ","High School ",Other,"Sales Executive",Divorced,104426,1,No,2012-01-11,No,10,3,4,6,2017-02-18,"Very Satisfied",Dissatisfied,Dissatisfied,2,3,"Above and Beyond",5,4
3D71-8DC2,Alix,Blazejewski,Male,38,"Some Travel",Sales,20,IL,"Black or African American","Masters ","Marketing ","Sales Executive",Married,147098,1,No,2012-01-11,No,10,5,8,2,2014-12-06,"Satisfied ","Very Satisfied","Very Satisfied",1,3,"Exceeds Expectation ",4,3
3D71-8DC2,Alix,Blazejewski,Male,38,"Some Travel",Sales,20,IL,"Black or African American","Masters ","Marketing ","Sales Executive",Married,147098,1,No,2012-01-11,No,10,5,8,2,2019-12-05,"Very Satisfied","Satisfied ",Dissatisfied,3,1,"Meets Expectation",4,4
3D71-8DC2,Alix,Blazejewski,Male,38,"Some Travel",Sales,20,IL,"Black or African American","Masters ","Marketing ","Sales Executive",Married,147098,1,No,2012-01-11,No,10,5,8,2,2018-12-05,"Very Satisfied",Dissatisfied,Neutral,2,0,"Above and Beyond",4,4
3D71-8DC2,Alix,Blazejewski,Male,38,"Some Travel",Sales,20,IL,"Black or African American","Masters ","Marketing ","Sales Executive",Married,147098,1,No,2012-01-11,No,10,5,8,2,2017-12-05,Neutral,Dissatisfied,Neutral,3,1,"Above and Beyond",3,2
3D71-8DC2,Alix,Blazejewski,Male,38,"Some Travel",Sales,20,IL,"Black or African American","Masters ","Marketing ","Sales Executive",Married,147098,1,No,2012-01-11,No,10,5,8,2,2016-12-05,"Satisfied ",Dissatisfied,Neutral,2,0,"Exceeds Expectation ",5,5
5476-CA0D,Kayley,Snoad,Female,31,"Frequent Traveller",Technology,4,NY,"Native Hawaiian ","High School ","Information Systems","Data Scientist",Single,69747,0,No,2012-01-12,Yes,6,5,5,1,2020-02-05,Dissatisfied,"Satisfied ",Neutral,3,1,Unacceptable,3,2
5476-CA0D,Kayley,Snoad,Female,31,"Frequent Traveller",Technology,4,NY,"Native Hawaiian ","High School ","Information Systems","Data Scientist",Single,69747,0,No,2012-01-12,Yes,6,5,5,1,2019-02-05,Neutral,"Very Satisfied","Satisfied ",2,2,"Above and Beyond",3,2
5476-CA0D,Kayley,Snoad,Female,31,"Frequent Traveller",Technology,4,NY,"Native Hawaiian ","High School ","Information Systems","Data Scientist",Single,69747,0,No,2012-01-12,Yes,6,5,5,1,2018-02-05,"Satisfied ",Neutral,"Very Satisfied",2,0,"Above and Beyond",4,3
5476-CA0D,Kayley,Snoad,Female,31,"Frequent Traveller",Technology,4,NY,"Native Hawaiian ","High School ","Information Systems","Data Scientist",Single,69747,0,No,2012-01-12,Yes,6,5,5,1,2014-02-06,Neutral,"Very Satisfied",Neutral,2,1,"Above and Beyond",3,2
5476-CA0D,Kayley,Snoad,Female,31,"Frequent Traveller",Technology,4,NY,"Native Hawaiian ","High School ","Information Systems","Data Scientist",Single,69747,0,No,2012-01-12,Yes,6,5,5,1,2017-02-05,Neutral,"Satisfied ",Dissatisfied,2,0,"Meets Expectation",3,2
73CF-4956,Hannis,Waslin,Female,32,"Some Travel",Technology,42,CA,White,"Masters ","Computer Science","Data Scientist",Single,102022,0,No,2012-01-12,No,10,4,5,8,2020-03-06,Neutral,Neutral,Neutral,3,2,"Meets Expectation",3,2
73CF-4956,Hannis,Waslin,Female,32,"Some Travel",Technology,42,CA,White,"Masters ","Computer Science","Data Scientist",Single,102022,0,No,2012-01-12,No,10,4,5,8,2019-03-07,"Satisfied ","Very Satisfied",Dissatisfied,3,0,"Meets Expectation",5,4
73CF-4956,Hannis,Waslin,Female,32,"Some Travel",Technology,42,CA,White,"Masters ","Computer Science","Data Scientist",Single,102022,0,No,2012-01-12,No,10,4,5,8,2014-03-08,Neutral,"Very Satisfied","Satisfied ",3,0,"Meets Expectation",3,2
73CF-4956,Hannis,Waslin,Female,32,"Some Travel",Technology,42,CA,White,"Masters ","Computer Science","Data Scientist",Single,102022,0,No,2012-01-12,No,10,4,5,8,2018-03-07,"Satisfied ","Very Satisfied","Satisfied ",3,1,"Needs Improvement",5,5
73CF-4956,Hannis,Waslin,Female,32,"Some Travel",Technology,42,CA,White,"Masters ","Computer Science","Data Scientist",Single,102022,0,No,2012-01-12,No,10,4,5,8,2017-03-07,Neutral,"Satisfied ","Satisfied ",2,1,"Needs Improvement",3,3
277A-A6FA,Annabela,Pablos,Female,35,"Some Travel",Technology,8,NY,"Other ","Masters ","Information Systems","Machine Learning Engineer",Single,272175,0,No,2012-01-12,No,10,7,8,2,2014-10-04,"Satisfied ","Satisfied ",Neutral,1,2,"Exceeds Expectation ",5,4
277A-A6FA,Annabela,Pablos,Female,35,"Some Travel",Technology,8,NY,"Other ","Masters ","Information Systems","Machine Learning Engineer",Single,272175,0,No,2012-01-12,No,10,7,8,2,2019-10-03,Neutral,"Satisfied ","Very Satisfied",1,3,"Exceeds Expectation ",5,5
277A-A6FA,Annabela,Pablos,Female,35,"Some Travel",Technology,8,NY,"Other ","Masters ","Information Systems","Machine Learning Engineer",Single,272175,0,No,2012-01-12,No,10,7,8,2,2018-10-03,Neutral,"Satisfied ",Neutral,1,2,"Needs Improvement",4,4
277A-A6FA,Annabela,Pablos,Female,35,"Some Travel",Technology,8,NY,"Other ","Masters ","Information Systems","Machine Learning Engineer",Single,272175,0,No,2012-01-12,No,10,7,8,2,2017-10-03,Neutral,"Satisfied ",Neutral,1,0,"Meets Expectation",3,3
277A-A6FA,Annabela,Pablos,Female,35,"Some Travel",Technology,8,NY,"Other ","Masters ","Information Systems","Machine Learning Engineer",Single,272175,0,No,2012-01-12,No,10,7,8,2,2016-10-03,Neutral,Dissatisfied,Dissatisfied,1,2,"Needs Improvement",5,5
8BAB-B4A6,Torey,Abram,Male,38,"Some Travel",Sales,35,NY,"Asian or Asian American","Bachelors ","Marketing ",Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,2020-01-17,Neutral,Dissatisfied,"Satisfied ",3,2,"Meets Expectation",4,4
8BAB-B4A6,Torey,Abram,Male,38,"Some Travel",Sales,35,NY,"Asian or Asian American","Bachelors ","Marketing ",Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,2019-01-17,Neutral,Dissatisfied,Dissatisfied,3,0,"Needs Improvement",3,3
8BAB-B4A6,Torey,Abram,Male,38,"Some Travel",Sales,35,NY,"Asian or Asian American","Bachelors ","Marketing ",Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,2013-01-18,Neutral,"Satisfied ","Satisfied ",3,2,"Meets Expectation",5,4
8BAB-B4A6,Torey,Abram,Male,38,"Some Travel",Sales,35,NY,"Asian or Asian American","Bachelors ","Marketing ",Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,2018-01-17,"Very Satisfied","Very Satisfied",Neutral,2,0,"Above and Beyond",5,4
8BAB-B4A6,Torey,Abram,Male,38,"Some Travel",Sales,35,NY,"Asian or Asian American","Bachelors ","Marketing ",Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,2014-01-18,"Very Satisfied","Satisfied ",Neutral,3,0,"Meets Expectation",3,3
8BAB-B4A6,Torey,Abram,Male,38,"Some Travel",Sales,35,NY,"Asian or Asian American","Bachelors ","Marketing ",Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,2017-01-17,"Satisfied ",Dissatisfied,"Satisfied ",3,1,"Meets Expectation",5,4
111D-E5EF,Edna,Alison,Non-Binary,37,"Some Travel",Technology,3,IL,White,"Bachelors ","Computer Science","Software Engineer",Divorced,48395,1,No,2012-01-15,No,10,2,2,4,2020-02-15,"Very Satisfied","Satisfied ",Neutral,3,1,"Exceeds Expectation ",4,4
111D-E5EF,Edna,Alison,Non-Binary,37,"Some Travel",Technology,3,IL,White,"Bachelors ","Computer Science","Software Engineer",Divorced,48395,1,No,2012-01-15,No,10,2,2,4,2019-02-15,Neutral,"Very Satisfied","Satisfied ",3,0,"Above and Beyond",5,5
111D-E5EF,Edna,Alison,Non-Binary,37,"Some Travel",Technology,3,IL,White,"Bachelors ","Computer Science","Software Engineer",Divorced,48395,1,No,2012-01-15,No,10,2,2,4,2014-02-16,"Very Satisfied","Satisfied ",Neutral,2,0,"Meets Expectation",3,3
111D-E5EF,Edna,Alison,Non-Binary,37,"Some Travel",Technology,3,IL,White,"Bachelors ","Computer Science","Software Engineer",Divorced,48395,1,No,2012-01-15,No,10,2,2,4,2018-02-15,"Satisfied ","Satisfied ",Neutral,3,3,"Above and Beyond",5,4
111D-E5EF,Edna,Alison,Non-Binary,37,"Some Travel",Technology,3,IL,White,"Bachelors ","Computer Science","Software Engineer",Divorced,48395,1,No,2012-01-15,No,10,2,2,4,2017-02-15,"Satisfied ","Very Satisfied","Very Satisfied",1,2,"Exceeds Expectation ",5,4
97F4-0B14,Vernen,Powner,Male,33,"Some Travel",Technology,4,NY,"Mixed or multiple ethnic groups","Masters ",Other,"Senior Software Engineer",Single,97126,0,No,2012-01-15,No,10,8,10,2,2020-02-15,Neutral,"Very Satisfied","Satisfied ",2,2,"Needs Improvement",5,4
97F4-0B14,Vernen,Powner,Male,33,"Some Travel",Technology,4,NY,"Mixed or multiple ethnic groups","Masters ",Other,"Senior Software Engineer",Single,97126,0,No,2012-01-15,No,10,8,10,2,2019-02-15,"Satisfied ","Very Satisfied",Dissatisfied,3,2,"Above and Beyond",5,5
97F4-0B14,Vernen,Powner,Male,33,"Some Travel",Technology,4,NY,"Mixed or multiple ethnic groups","Masters ",Other,"Senior Software Engineer",Single,97126,0,No,2012-01-15,No,10,8,10,2,2018-02-15,Neutral,Dissatisfied,Neutral,1,2,"Above and Beyond",4,3
97F4-0B14,Vernen,Powner,Male,33,"Some Travel",Technology,4,NY,"Mixed or multiple ethnic groups","Masters ",Other,"Senior Software Engineer",Single,97126,0,No,2012-01-15,No,10,8,10,2,2017-02-15,Neutral,Neutral,Neutral,3,0,"Meets Expectation",5,4
5C03-1009,Willetta,Lurriman,Female,42,"Some Travel",Technology,21,IL,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,316208,1,No,2012-01-17,No,10,8,8,7,2020-04-12,"Very Satisfied","Satisfied ","Very Satisfied",2,2,"Exceeds Expectation ",3,3
5C03-1009,Willetta,Lurriman,Female,42,"Some Travel",Technology,21,IL,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,316208,1,No,2012-01-17,No,10,8,8,7,2019-04-13,"Satisfied ","Very Satisfied","Satisfied ",2,0,"Above and Beyond",4,4
5C03-1009,Willetta,Lurriman,Female,42,"Some Travel",Technology,21,IL,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,316208,1,No,2012-01-17,No,10,8,8,7,2018-04-13,"Satisfied ","Satisfied ","Very Satisfied",3,3,"Meets Expectation",4,4
5C03-1009,Willetta,Lurriman,Female,42,"Some Travel",Technology,21,IL,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,316208,1,No,2012-01-17,No,10,8,8,7,2017-04-13,Neutral,"Very Satisfied","Very Satisfied",3,1,"Above and Beyond",3,3
5C03-1009,Willetta,Lurriman,Female,42,"Some Travel",Technology,21,IL,"Black or African American","Bachelors ","Information Systems","Engineering Manager",Married,316208,1,No,2012-01-17,No,10,8,8,7,2016-04-13,Neutral,Dissatisfied,"Very Satisfied",1,2,"Above and Beyond",5,4
BD1B-53A3,Wendall,Dryden,Male,43,"Some Travel",Sales,27,CA,"Mixed or multiple ethnic groups","Bachelors ",Marketing,"Sales Executive",Single,128885,0,Yes,2012-01-17,No,10,1,10,2,2020-05-22,"Satisfied ","Satisfied ","Very Satisfied",2,0,"Meets Expectation",3,2
BD1B-53A3,Wendall,Dryden,Male,43,"Some Travel",Sales,27,CA,"Mixed or multiple ethnic groups","Bachelors ",Marketing,"Sales Executive",Single,128885,0,Yes,2012-01-17,No,10,1,10,2,2019-05-23,"Satisfied ","Very Satisfied",Neutral,1,3,"Needs Improvement",3,3
BD1B-53A3,Wendall,Dryden,Male,43,"Some Travel",Sales,27,CA,"Mixed or multiple ethnic groups","Bachelors ",Marketing,"Sales Executive",Single,128885,0,Yes,2012-01-17,No,10,1,10,2,2018-05-23,Neutral,"Very Satisfied",Neutral,1,2,"Above and Beyond",3,3
BD1B-53A3,Wendall,Dryden,Male,43,"Some Travel",Sales,27,CA,"Mixed or multiple ethnic groups","Bachelors ",Marketing,"Sales Executive",Single,128885,0,Yes,2012-01-17,No,10,1,10,2,2017-05-23,"Satisfied ",Neutral,Dissatisfied,1,0,"Exceeds Expectation ",4,3
BD1B-53A3,Wendall,Dryden,Male,43,"Some Travel",Sales,27,CA,"Mixed or multiple ethnic groups","Bachelors ",Marketing,"Sales Executive",Single,128885,0,Yes,2012-01-17,No,10,1,10,2,2016-05-23,"Very Satisfied","Satisfied ",Dissatisfied,1,1,"Above and Beyond",4,3
DFA9-990E,Cale,Holston,Male,43,"No Travel ",Sales,34,NY,White,"Masters ","Marketing ","Sales Executive",Married,108315,2,No,2012-01-17,No,10,9,10,10,2019-12-05,Neutral,"Satisfied ","Satisfied ",2,2,"Meets Expectation",4,3
DFA9-990E,Cale,Holston,Male,43,"No Travel ",Sales,34,NY,White,"Masters ","Marketing ","Sales Executive",Married,108315,2,No,2012-01-17,No,10,9,10,10,2018-12-05,"Satisfied ","Very Satisfied",Neutral,1,0,"Exceeds Expectation ",3,3
DFA9-990E,Cale,Holston,Male,43,"No Travel ",Sales,34,NY,White,"Masters ","Marketing ","Sales Executive",Married,108315,2,No,2012-01-17,No,10,9,10,10,2017-12-05,"Satisfied ",Dissatisfied,"Satisfied ",2,1,"Exceeds Expectation ",5,4
DFA9-990E,Cale,Holston,Male,43,"No Travel ",Sales,34,NY,White,"Masters ","Marketing ","Sales Executive",Married,108315,2,No,2012-01-17,No,10,9,10,10,2016-12-05,"Satisfied ","Satisfied ","Very Satisfied",2,0,"Needs Improvement",4,4
ED73-F078,Ernaline,Napolione,Female,45,"Frequent Traveller",Technology,19,NY,"Asian or Asian American","No Formal Qualifications","Computer Science","Software Engineer",Married,136521,1,No,2012-01-18,No,10,3,6,1,2020-08-03,"Very Satisfied","Satisfied ","Satisfied ",1,3,"Exceeds Expectation ",5,5
